Gene_name	Species_name	GC_Stretch
ADRA1B	Lontra_canadensis	5
ADRA1B	Molothrus_ater	4.27835051546392
ADRA1B	Myotis_myotis	5.07142857142857
ADRA1B	Meriones_unguiculatus	4.5546875
ADRA1B	Leopardus_geoffroyi	5.14634146341463
ADRA1B	Lynx_canadensis	5.18852459016393
ADRA1B	Mustela_lutreola	4.8203125
ADRA1B	Mesocricetus_auratus	4.344
ADRA1B	Diceros_bicornis_minor	5.22689075630252
ADRA1B	Orcinus_orca	5.00847457627119
ADRA1B	Mastomys_coucha	4.46341463414634
ADRA1B	Cuculus_canorus	3.53225806451613
ADRA1B	Peromyscus_leucopus	4.52755905511811
ADRA1B	Loxodonta_africana	4.82113821138211
ADRA1B	Pteronotus_mesoamericanus	5
ADRA1B	Cervus_elaphus	5.14529914529915
ADRA1B	Sylvia_atricapilla	4.31313131313131
ADRA1B	Emydura_macquarii_macquarii	3.60606060606061
ADRA1B	Panthera_onca	5.12903225806452
ADRA1B	Ranitomeya_imitator	3.296875
ADRA1B	Chaetura_pelagica	3.48275862068966
ADRA1B	Fulmarus_glacialis	3.57377049180328
ADRA1B	Aythya_fuligula	3.54237288135593
ADRA1B	Bubalus_bubalis	5.1551724137931
ADRA1B	Suncus_etruscus	5.62406015037594
ADRA1B	Bufo_bufo	3.38983050847458
ADRA1B	Aquila_chrysaetos_chrysaetos	3.515625
ADRA1B	Prionailurus_viverrinus	5.05645161290323
ADRA1B	Mauremys_reevesii	3.61971830985915
ADRA1B	Pongo_abelii	5.075
ADRA1B	Camarhynchus_parvulus	4.19607843137255
ADRA1B	Phaenicophaeus_curvirostris	3.56140350877193
ADRA1B	Dromaius_novaehollandiae	3.48611111111111
ADRA1B	Sapajus_apella	5.26229508196721
ADRA1B	Cricetulus_griseus	4.42622950819672
ADRA1B	Crocodylus_porosus	3.44444444444444
ADRA1B	Phaethon_lepturus	3.453125
ADRA1B	Hyperolius_riggenbachi	3.61904761904762
ADRA1B	Rhinolophus_ferrumequinum	4.82442748091603
ADRA1B	Mirounga_angustirostris	5.13492063492064
ADRA1B	Arvicanthis_niloticus	4.472
ADRA1B	Alexandromys_fortis	4.47154471544715
ADRA1B	Rattus_rattus	4.68067226890756
ADRA1B	Halichoerus_grypus	5.112
ADRA1B	Lagenorhynchus_albirostris	5
ADRA1B	Trachemys_scripta_elegans	3.61428571428571
ADRA1B	Acinonyx_jubatus	5.17886178861789
ADRA1B	Vidua_chalybeata	4.23958333333333
ADRA1B	Hirundo_rustica	4.24271844660194
ADRA1B	Passer_montanus	4.36
ADRA1B	Echinops_telfairi	4.25882352941176
ADRA1B	Balaenoptera_ricei	5.12396694214876
ADRA1B	Alligator_sinensis	3.44615384615385
ADRA1B	Hippopotamus_amphibius_kiboko	5.15702479338843
ADRA1B	Dipodomys_merriami	5.96638655462185
ADRA1B	Eumetopias_jubatus	4.968
ADRA1B	Neopsephotus_bourkii	3.52307692307692
ADRA1B	Falco_biarmicus	3.47368421052632
ADRA1B	Ammospiza_nelsoni	4.41584158415842
ADRA1B	Chionomys_nivalis	4.44
ADRA1B	Panthera_leo	5.08870967741935
ADRA1B	Gymnogyps_californianus	3.578125
ADRA1B	Hyla_sarda	3.42622950819672
ADRA1B	Erinaceus_europaeus	5.15384615384615
ADRA1B	Grus_americana	3.66129032258065
ADRA1B	Lepus_europaeus	4.85826771653543
ADRA1B	Chiroxiphia_lanceolata	3.51315789473684
ADRA1B	Phalacrocorax_carbo	3.59016393442623
ADRA1B	Odobenus_rosmarus_divergens	5.048
ADRA1B	Vidua_macroura	4.24742268041237
ADRA1B	Dermochelys_coriacea	3.57377049180328
ADRA1B	Oryctolagus_cuniculus	5.01639344262295
ADRA1B	Bufo_gargarizans	3.32142857142857
ADRA1B	Merops_nubicus	3.65625
ADRA1B	Vulpes_vulpes	4.92432432432432
ADRA1B	Ictidomys_tridecemlineatus	5.04878048780488
ADRA1B	Empidonax_traillii	3.54878048780488
ADRA1B	Budorcas_taxicolor	5.18803418803419
ADRA1B	Buceros_rhinoceros_silvestris	3.56923076923077
ADRA1B	Athene_cunicularia	3.49206349206349
ADRA1B	Nyctereutes_procyonoides	5.36290322580645
ADRA1B	Heterocephalus_glaber	5.0078125
ADRA1B	Falco_cherrug	3.49122807017544
