Gene_name	Group	Species_name	GC_content	GC_Stretch
tnip2	Actinopterygii	Dunckerocampus_dactyliophorus	62.98	 4.33009708737864
tnip2	Actinopterygii	Poeciliopsis_prolifica	61.46	 4.3469387755102
tnip2	Actinopterygii	Misgurnus_anguillicaudatus	49.52	 4.04477611940298
tnip2	Actinopterygii	Rhinichthys_klamathensis	49.81	 3.92647058823529
tnip2	Actinopterygii	Lampris_incognitus	57.73	 4.01123595505618
tnip2	Actinopterygii	Seriola_aureovittata	50.74	 3.51428571428571
tnip2	Actinopterygii	Pseudoliparis_swirei	61.59	 4.69387755102041
tnip2	Actinopterygii	Danio_aesculapii	48.18	 3.82258064516129
tnip2	Actinopterygii	Gadus_chalcogrammus	58.18	 4.22340425531915
tnip2	Actinopterygii	Triplophysa_dalaica	50.33	 4.12121212121212
tnip2	Actinopterygii	Takifugu_flavidus	56.00	 3.98809523809524
tnip2	Actinopterygii	Triplophysa_rosa	50.56	 4.328125
tnip2	Actinopterygii	Corythoichthys_intestinalis	60.99	 4.78125
tnip2	Actinopterygii	Doryrhamphus_excisus	65.03	 4.68627450980392
tnip2	Actinopterygii	Hemibagrus_wyckioides	52.99	 3.75342465753425
tnip2	Actinopterygii	Solea_solea	53.81	 3.64864864864865
tnip2	Actinopterygii	Onychostoma_macrolepis	51.26	 3.88
tnip2	Actinopterygii	Centropristis_striata	52.68	 3.72222222222222
tnip2	Actinopterygii	Gadus_macrocephalus	57.87	 4.23913043478261
tnip2	Actinopterygii	Tachysurus_vachellii	51.79	 3.7258064516129
tnip2	Actinopterygii	Neoarius_graeffei	55.01	 3.96
tnip2	Actinopterygii	Labrus_mixtus	50.84	 3.671875
tnip2	Actinopterygii	Limanda_limanda	61.43	 4.14851485148515
tnip2	Actinopterygii	Conger_conger	50.32	 3.671875
tnip2	Actinopterygii	Syngnathus_typhle	60.73	 4.43617021276596
tnip2	Actinopterygii	Phycodurus_eques	60.77	 4.20754716981132
tnip2	Actinopterygii	Cololabis_saira	53.95	 3.67532467532468
tnip2	Actinopterygii	Phyllopteryx_taeniolatus	62.68	 4.40909090909091
tnip2	Actinopterygii	Syngnathoides_biaculeatus	63.97	 4.66071428571429
tnip2	Actinopterygii	Nerophis_ophidion	62.27	 4.45054945054945
tnip2	Actinopterygii	Nerophis_lumbriciformis	62.05	 4.34375
tnip2	Actinopterygii	Entelurus_aequoreus	62.21	 4.42708333333333
tnip2	Actinopterygii	Platichthys_flesus	60.06	 4.12222222222222
tnip2	Actinopterygii	Scomber_scombrus	52.11	 3.51612903225806
tnip2	Actinopterygii	Osmerus_eperlanus	52.45	 3.65
tnip2	Actinopterygii	Sardina_pilchardus	57.54	 4.48314606741573
tnip2	Actinopterygii	Trichomycterus_rosablanca	51.08	 3.81967213114754
