Group	IL34_status	Order	Species_name	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN
Mammalia	Intact	Lagomorpha	Ochotona_curzoniae	275	30261	126913	145791	233279	261	96913	115791	203279	58407	77285	164773	1465	88953	3885
Mammalia	Intact	Lagomorpha	Ochotona_princeps	23	30062	136912	155126	384102	195	107045	125259	354235	63097	81311	310287	1641	230617	136833
Mammalia	Intact	Artiodactyla	Orcinus_orca	300	27990	140868	163636	374740	240	113118	135886	346990	38971	61739	272843	8064	219168	5032
Mammalia	Intact	Monotremata	Ornithorhynchus_anatinus	1603	32756	123457	166533	363315	76	90777	133853	330635	55089	98165	294947	8544	205326	45108
Mammalia	Intact	Lagomorpha	Oryctolagus_cuniculus	269	36353	164224	186948	292998	215	128086	150810	256860	66673	89397	195447	1249	107299	5343
Mammalia	Intact	Artiodactyla	Ovis_aries	254	25801	133377	154177	38179702	267	107843	128643	38195673	68577	89377	38221220	922	38328796	38349596
Mammalia	Intact	Artiodactyla	Ovis_canadensis	252	25947	135801	156745	38123257	222	110076	131020	38140251	70885	91829	38165946	1045	38275800	38296744
Mammalia	Intact	Primates	Pan_paniscus	296	43120	177492	203796	318483	212	134584	160888	275575	85932	112236	226923	8195	122882	902
Mammalia	Intact	Carnivora	Panthera_leo	296	27800	160398	185634	369114	289	132887	158123	341603	85341	110577	294057	522	184002	81349
Mammalia	Intact	Carnivora	Panthera_pardus	296	28008	164284	189573	297512	255	136531	161820	269759	86289	111578	219517	1466	109405	5906
Mammalia	Intact	Carnivora	Panthera_tigris	296	28012	161163	186357	370358	288	133439	158633	342634	85603	110797	294798	522	184523	81459
Mammalia	Intact	Primates	Pan_troglodytes	298	43148	178169	204476	536700	7403	142424	168731	500955	86566	112873	445097	1427	333651	218406
Mammalia	Intact	Rodentia	Perognathus_longimembris_pacificus	213	21299	104799	122108	213873	232	83732	101041	192806	40186	57495	149260	1339	93104	3304
Mammalia	Intact	Rodentia	Peromyscus_californicus_insignis	277	41208	144509	167063	287598	234	103535	126089	246624	63505	86059	206594	1249	121784	6832
Mammalia	Intact	Rodentia	Peromyscus_leucopus	274	40402	143431	165462	290777	207	103236	125267	250582	62849	84880	210195	1288	126603	10135
Mammalia	Intact	Artiodactyla	Phacochoerus_africanus	294	30899	166139	189520	396728	236	135476	158857	366065	80651	104032	311240	1502	208710	102749
Mammalia	Intact	Diprotodontia	Phascolarctos_cinereus	0	32452	180231	223359	372748	1362	149141	192269	341658	111319	154447	303836	2465	151854	15026
Mammalia	Intact	Artiodactyla	Phocoena_phocoena	787	28800	142403	162616	560241	323	113926	134139	531764	66623	86836	484461	1689	399314	299712
Mammalia	Intact	Artiodactyla	Phocoena_sinus	300	28061	139673	162400	380355	281	111893	134620	352575	64352	87079	305034	1462	219417	120082
Mammalia	Intact	Rodentia	Phodopus_roborovskii	233	34396	133652	154458	274479	205	99461	120267	240288	60810	81616	201637	856	120877	9051
Mammalia	Intact	Chiroptera	Phyllostomus_discolor	295	26116	136790	152878	321452	258	110932	127020	295594	68553	84641	253215	1402	169976	75176
Mammalia	Intact	Chiroptera	Phyllostomus_hastatus	296	25658	135482	158246	252212	268	110092	132856	226822	66275	89039	183005	5962	99928	4413
Mammalia	Intact	Chiroptera	Pipistrellus_kuhlii	260	25851	155092	172583	266971	244	129485	146976	241364	89800	107291	201679	1283	95671	3275
Mammalia	Intact	Primates	Pongo_abelii	300	43591	176141	202629	320412	275	132825	159313	277096	84256	110744	228527	1540	119323	825
Mammalia	Intact	Primates	Pongo_pygmaeus	300	43352	176319	202823	322176	2	132969	159473	278826	84263	110767	230120	1392	120745	6194
Mammalia	Intact	Carnivora	Prionailurus_bengalensis	296	27873	162458	187786	295071	260	134845	160173	267458	86675	112003	219288	1590	108875	4908
