Gene_name	Class	Order	Species_name	Unaligned_region	Gene_length	Normalized_value	left_gene
CAV3	Aves	Passeriformes	Serinus_canaria	12786	23267	0.549534 LMCD1	LMCD1
CAV3	Lepidosauria	Sphenodontia	Sphenodon_punctatus	2788	23267	0.119826 LMCD1	LMCD1
CAV3	Aves	Psittaciformes	Strigops_habroptila	19148	23267	0.822968 LMCD1	LMCD1
CAV3	Aves	Struthioniformes	Struthio_camelus	17896	23267	0.769158 LMCD1	LMCD1
CAV3	Aves	Passeriformes	Taeniopygia_guttata	11077	23267	0.476082 LMCD1	LMCD1
CAV3	Reptilia	Testudines	Terrapene_carolina	8584	23267	0.368935 LMCD1	LMCD1
CYYR1	Aves	Anseriformes	Anas_platyrhynchos	175042	199377	0.877945 APP	APP
CYYR1	Lepidosauria	Squamata	Anolis_carolinensis	4670	199377	0.023423 APP	APP
CYYR1	Lepidosauria	Squamata	Anolis_sagrei	6333	199377	0.0317639 APP	APP
CYYR1	Aves	Anseriformes	Anser_brachyrhynchus	177197	199377	0.888753 APP	APP
CYYR1	Aves	Accipitriformes	Aquila_chrysaetos	174890	199377	0.877182 APP	APP
CYYR1	Reptilia	Testudines	Chelonoidis_abingdonii	44931	199377	0.225357 APP	APP
CYYR1	Reptilia	Testudines	Chrysemys_picta	52759	199377	0.264619 APP	APP
CYYR1	Aves	Galliformes	Coturnix_japonica	181748	199377	0.91158 APP	APP
CYYR1	Reptilia	Crocodylia	Crocodylus_porosus	35978	199377	0.180452 APP	APP
CYYR1	Lepidosauria	Squamata	Eublepharis_macularius	7190	199377	0.0360623 APP	APP
CYYR1	Lepidosauria	Squamata	Euleptes_europaea	6755	199377	0.0338805 APP	APP
CYYR1	Aves	Passeriformes	Ficedula_albicollis	137827	199377	0.691288 APP	APP
CYYR1	Aves	Passeriformes	Geospiza_fortis	130693	199377	0.655507 APP	APP
CYYR1	Reptilia	Testudines	Gopherus_evgoodei	46734	199377	0.2344 APP	APP
CYYR1	Lepidosauria	Squamata	Laticauda_laticaudata	4187	199377	0.0210004 APP	APP
CYYR1	Actinistia	Coelacanthiformes	Latimeria_chalumnae	3771	199377	0.0189139 APP	APP
CYYR1	Aves	Galliformes	Meleagris_gallopavo	193052	199377	0.968276 APP	APP
CYYR1	Lepidosauria	Squamata	Naja_naja	4100	199377	0.0205641 APP	APP
CYYR1	Lepidosauria	Squamata	Notechis_scutatus	4484	199377	0.0224901 APP	APP
CYYR1	Aves	Passeriformes	Parus_major	137522	199377	0.689759 APP	APP
CYYR1	Reptilia	Testudines	Pelodiscus_sinensis	26227	199377	0.131545 APP	APP
CYYR1	Lepidosauria	Squamata	Podarcis_muralis	6733	199377	0.0337702 APP	APP
CYYR1	Lepidosauria	Squamata	Podarcis_raffonei	7450	199377	0.0373664 APP	APP
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zw	6152	199377	0.0308561 APP	APP
CYYR1	Lepidosauria	Squamata	Pogona_vitticeps_zz	7926	199377	0.0397538 APP	APP
CYYR1	Lepidosauria	Squamata	Pseudonaja_textilis	4112	199377	0.0206242 APP	APP
CYYR1	Lepidosauria	Squamata	Rhineura_floridana	7271	199377	0.0364686 APP	APP
CYYR1	Lepidosauria	Squamata	Salvator_merianae	4674	199377	0.023443 APP	APP
